StateCode,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
17202,58643,60117,60751,63583,,68100,73856,71946,78385,81302,88333,92925,94366
17210,86607,100809,100750,103214,92381,92396,94196,96583,-666666666,42857,-666666666,-666666666,-666666666
17217,34632,45357,53500,50000,52750,60625,53750,65417,69000,59583,72692,71250,74500
17246,45250,46818,49000,51750,,57143,59375,69000,71250,61906,63987,69763,72331
17247,28688,35750,73191,76058,,70469,54231,41278,41417,47875,53958,49926,51000
17250,47235,49963,49773,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
17251,40417,44286,56058,55500,,57250,57500,-666666666,84500,-666666666,61250,64688,67083
17256,19156,19112,-666666666,-666666666,,-666666666,-666666666,95078,-666666666,-666666666,N/A,N/A,N/A
17261,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
17263,63182,63958,63430,65793,66707,65301,47422,71250,65515,73031,75742,83688,-666666666
17272,52906,56612,56042,30521,,-666666666,25227,-666666666,-666666666,44432,N/A,N/A,N/A
17371,75000,87679,65313,63015,73611,74545,76563,76111,74792,82500,90909,97757,102978
17408,60724,64325,63355,64455,64905,66347,65348,68966,69728,68052,71262,78468,87044
17507,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,73102,75673
17550,62386,68056,72434,65500,71250,102522,72941,43665,-666666666,55556,80417,-666666666,-666666666
17606,26136,29224,26875,24885,26250,31083,23984,-666666666,-666666666,39018,-666666666,-666666666,-666666666
17723,23750,35341,36250,36250,66250,73125,76250,39375,38594,38571,61875,68750,58750
17727,33125,41563,40938,42250,,49375,52000,42188,44375,39453,41364,44375,46538
17779,58654,62679,52500,45469,,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,51750
17822,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
17876,48750,47500,48235,48214,,34737,41563,42578,47946,57153,68056,77868,78971
17880,29125,26563,26250,30250,,-666666666,-666666666,-666666666,54375,54464,56833,100729,-666666666
17268,51050,51723,52657,51188,50969,51349,54093,54321,58568,58607,62791,65698,69715
17271,51667,40938,41667,51250,,44444,50000,52614,46625,66563,80109,85313,90798
17094,41771,44813,48250,46016,,53259,52500,50774,49583,47738,47357,61100,63900
17102,39459,37383,37889,35731,36443,36983,41364,42260,44863,45110,47004,52093,55369
17223,41771,45104,42917,34896,,43333,43750,38750,38750,43472,43947,41250,38864
17224,34250,48060,49432,45833,,50938,50208,55357,65750,97774,103009,113093,117742
17236,53515,53625,54808,55702,53862,56111,59512,64610,66098,69982,72105,75119,81074
17240,57845,56200,56186,58702,59907,59663,64461,65921,68281,67766,71435,80221,85469
