RegionName,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023
80004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.01580641,27.06294409,26.98461248,26.82753769,26.61927332,26.76879724,26.98616082,27.39364926,27.31499437,27.50059356,27.26019889,27.12803134,27.01670909,27.02855621,27.16161518,27.00362794,26.966264,27.35188421,27.74474776,27.88823801,27.85383726,28.05165237,28.44493245,27.9156431,27.95291609,27.59762219,28.04106125,28.22838006,28.6897079,29.05385959,28.73638752,28.43639052,28.38523418,28.48720247,27.99491644,27.53808426,27.58580005
80005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.27501528,34.25880302,35.01179979,34.04985899,33.82793239,33.66747895,34.07680085,33.97298544,34.12622854,33.62775132,33.7893297,33.78782374,34.17049193,34.11296297,34.4799274,34.73979694,34.72254154,33.86798112,34.07790165,34.05819788,34.29006483,34.26215812,34.57111747,34.79583925,34.81726214,34.59794147,34.78459364,34.53350736,34.79168035,34.35353776,34.66352062,34.08185559,34.36611088,33.96435264,34.11537401,33.91177011,33.84443631,33.74489737,33.50690742,33.40864439,33.35269371,33.00747918,32.89839738,32.36001104,32.86324019,32.52386684,32.99853681,32.1667416,31.9938598,32.02059567,32.46013849,32.61037173,32.23947254,32.20170335,32.2979621,32.10380019,31.37437526,30.8132763,30.5074476,30.82932512,31.1789396,31.36000682,31.68448912,31.75339394,32.12514107,32.09929502,31.93622961,32.21182025,32.23468504,32.22726442,31.8024219,31.71631762,32.00186544,31.94572721,31.88842311,31.93181532,31.9100785,32.2684475,32.10131054,32.73323539,32.18316787
80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.49191263,30.29697396,30.88448593,31.23793523,31.25633267,31.38009772,31.2592531,31.21526207,31.11092899,30.76990811,30.87709929,30.72595135,30.64026957,30.30747972,29.93206505,29.82519535,30.17435389,30.61924472,30.85252715,30.37584235,30.05922885,29.62138001,29.34086506,29.20586483,29.35773051,29.11595633,28.85152185,28.62079934,28.72865288,28.51133172,28.34559055,28.10410769,28.18460394,28.0921923,27.86447374,27.39039481,27.02589666,26.73871254,26.99925838,27.18635853,27.53090805,27.67941382,28.10631302,28.7614632,29.2403803,29.25536008,29.28304556,29.11138325,29.06134825,28.84237957,28.83506222,29.04129018,29.15737665,29.57833574,29.77496504,29.86340106,29.62854565,29.29322312,28.94276384,28.98235286,28.80975157
80012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.90478019,27.15604007,27.25299078,27.06860972,26.71080501,26.38176058,26.47470933,26.56390874,26.56280637,26.34969731,25.89261085,26.18858584,26.81032345,27.02989955,26.80901045,26.12866861,26.32593929,26.22402075,26.23963138,25.9326325,26.13952935,26.08505207,26.07659586,26.05609714,26.12915567,26.3781732,26.13354626,26.2353476,26.22255085,26.07489289,25.89718138,25.47355705,25.43394643,25.479699,25.77505065,25.65377286,25.67705982,25.81011097,26.18596865,26.14957118,26.0192224,25.65909456,25.50667328,25.16966996,25.33774391,25.16874709,25.57523888,25.59942092,25.48263811,25.19802613,25.19215792,25.44903547,25.61261316,25.66450677,25.68952215,25.32113976,25.26360459,25.08788117,25.30221454,25.0315379,25.15621126,25.22231112,25.56454851,25.96204468,26.3453662,26.62672896,26.63549812,26.37175821,26.21955635,26.08676683,26.25700604,26.33894826,26.54737866,26.90150146,27.16460789,27.41918592,27.39313906,27.34346839,27.23654468,26.9621995,26.71862405,26.46956488
80013,0,21.18525258,21.39133001,21.59900968,21.82427311,22.13137471,21.9110899,21.72531179,21.68353504,22.00018704,22.19495029,22.38879118,22.35952334,22.37082783,22.16054242,0,22.0753084,22.10532699,22.25615115,22.11969792,21.96550231,21.64720968,21.45070244,21.42324184,21.48672257,21.37534427,21.51062088,21.69194752,21.93518856,21.88617826,22.08931556,22.0912173,22.01445303,21.75626927,21.53863471,21.4651551,21.29498654,21.2767694,21.52318903,21.81150949,22.16738557,22.13337649,22.19489503,22.08617378,22.14356441,22.08981696,22.17191648,22.1855312,22.07929411,22.19867953,22.35359353,22.5124398,22.6330535,22.88493809,23.08692392,23.09773593,22.82542885,22.71312424,22.77343541,22.6557537,22.67910605,22.54641913,22.57286119,22.54253881,22.38446957,22.44226129,22.41555192,22.55378444,22.49759702,22.49055344,22.28900862,22.20688264,22.06315085,22.02463121,21.92062371,22.09077378,22.33231382,22.86529812,23.28090522,23.77349264,23.80780313,23.8606092,23.69065631,23.8266509,23.70240025,23.5831212,23.56829168,23.66836726,23.87275014,24.02839539,24.01257139,24.07094902,23.93000449,23.79423327,23.2920609,22.73913512,22.50883353
80014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7344908,28.91965547,28.31161545,28.11198803,28.48872869,29.0606596,29.25280113,29.21668286,29.17323968,29.18064427,28.73605605,28.71669357,28.28863932,28.37286102,28.23798734,28.62764416,28.96905841,29.19311913,29.62324273,29.75481166,29.81739236,29.44169417,29.24431739,28.95939013,28.79702717,28.47791937,28.28604476,28.51426754,28.91813563,29.18642774,29.20885084,29.29759251,28.96427793,28.60819038,28.82453394,28.95980265,29.12691873,28.68479976,28.49743058,28.39350874,28.12871222,28.07574142,28.00612905,28.15032361,27.94942616,27.90681243,27.71517448,27.56391777,27.47008621,27.47878261,27.54717194,27.54845193,27.72992137,28.31471881,28.74149627,29.20392185,29.61562089,29.92555345,29.99618652,29.67980191,29.72723061,29.80973029,29.853509,29.87268202,29.66800686,29.77708586,29.81794413,30.21196846,30.37412052,30.2039765,30.10839526,29.57797226,29.39634784,29.28050459
80015,22.44947654,22.47522828,22.55756351,22.88937633,23.2122932,23.51274719,23.36896894,23.05169246,22.71087575,22.65456614,22.56138172,22.6125242,22.69541166,22.89290172,22.56737022,22.50811413,22.57499006,22.9903015,23.11625714,22.80431105,22.48640938,22.26231235,22.36436021,22.42300138,22.43853972,22.4300756,22.40395207,22.46481645,22.36405378,22.58980399,22.6420088,22.63489792,22.32968576,22.14148001,21.78533803,21.76171227,21.70128099,22.13381261,22.30671795,22.43704258,22.40145457,22.39047969,22.39541362,22.35403285,22.34423131,22.25535863,21.94022771,21.83076922,22.04051863,22.48706097,22.83235607,22.77358141,22.72642794,22.62615982,22.65756668,22.66776944,22.50531388,22.33746933,22.10706845,22.08210083,22.16601534,22.39107984,22.5535507,22.60122233,22.59854787,22.67899871,22.81231978,22.7604422,22.75739729,22.76266945,22.96456452,22.90691726,22.70185061,22.51340077,22.54530124,22.9245065,23.29156429,23.57701136,23.4958986,23.53317265,23.60627699,23.75797657,23.89346269,23.94464905,23.98953532,23.96153355,24.15212439,24.26131233,24.26813359,24.25484939,24.35732365,24.37244831,24.2677848,23.99814219,23.80491558,23.34579873,23.28065002
80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.50302257,15.29718222,15.23640425,15.29105056,15.37193679,15.5282319,15.60398849,15.5907044,15.51616002,15.83526582,15.84113281,15.72859083,15.2682607,15.17815768,15.15046693,15.15977542,15.31355398,15.40921038,15.41078642,15.31547222,15.21737653,15.06459584,14.9282905,14.80747653,14.80247075,14.74078516,14.89412847,14.84158211,15.05702673,15.03727739,15.22898633,15.26368036,15.17539423,15.0408134,15.04330038,15.17373975,15.62927833,15.50793437,15.59906282,15.23748439,15.01288625,14.70638369,14.55685241,14.6747841,14.80924297,14.7255242,14.76572705,14.62691013,14.6344652,14.46568107,14.34051271,14.30136956,14.62193013,15.03879036,15.49894373,15.79436133,15.94965386,15.95652218,15.87033761,15.74926779,15.63516485,15.47102023,15.46240108,15.49274528,15.76226653,16.00829265,16.32015278,16.44137576,16.46206357,16.25304781,16.02807917,15.74153814,15.63547395,15.50691264
