ZIP Code,CBSA Code,USPS Default State for ZIP
36008,33860,AL
36010,45980,AL
36013,33860,AL
36016,21640,AL
36017,21640,AL
36020,33860,AL
36022,33860,AL
36024,33860,AL
36025,33860,AL
36026,45180,AL
36027,21640,AL
36032,33860,AL
36034,45980,AL
36035,45980,AL
36036,33860,AL
36039,12220,AL
36040,33860,AL
36043,33860,AL
36047,33860,AL
36048,21640,AL
36051,33860,AL
36052,33860,AL
36054,33860,AL
36057,33860,AL
36064,33860,AL
36065,33860,AL
36066,33860,AL
36067,33860,AL
36068,33860,AL
36069,33860,AL
36072,21640,AL
36075,12220,AL
36078,33860,AL
36079,45980,AL
36080,33860,AL
36081,45980,AL
36082,45980,AL
36083,12220,AL
36087,12220,AL
36088,12220,AL
36091,13820,AL
36092,33860,AL
36093,33860,AL
36101,33860,AL
36102,33860,AL
36103,33860,AL
36104,33860,AL
36105,33860,AL
36106,33860,AL
36107,33860,AL
36108,33860,AL
36109,33860,AL
36110,33860,AL
36111,33860,AL
36112,33860,AL
36113,33860,AL
36114,33860,AL
36115,33860,AL
36116,33860,AL
36117,33860,AL
36118,33860,AL
36119,33860,AL
36120,33860,AL
36121,33860,AL
36123,33860,AL
36124,33860,AL
36125,33860,AL
36130,33860,AL
36131,33860,AL
36201,11500,AL
36202,11500,AL
36203,11500,AL
36204,11500,AL
36205,11500,AL
36206,11500,AL
36207,11500,AL
36250,11500,AL
36253,11500,AL
36254,11500,AL
36256,10760,AL
36257,11500,AL
36260,11500,AL
36265,11500,AL
36268,45180,AL
36271,11500,AL
36272,11500,AL
36277,11500,AL
36279,11500,AL
36301,20020,AL
36302,20020,AL
36303,20020,AL
36304,20020,AL
36305,20020,AL
36310,20020,AL
36311,37120,AL
36312,20020,AL
36313,20020,AL
36314,20020,AL
36316,20020,AL
36317,20020,AL
36318,20020,AL
36319,20020,AL
36320,20020,AL
36321,20020,AL
36322,37120,AL
36323,21460,AL
36330,21460,AL
36340,20020,AL
36343,20020,AL
36344,20020,AL
36345,20020,AL
36346,21460,AL
36349,20020,AL
36350,37120,AL
36351,21460,AL
36352,20020,AL
36353,20020,AL
36360,37120,AL
36361,37120,AL
36362,37120,AL
36370,20020,AL
36371,37120,AL
36373,20020,AL
36374,37120,AL
36375,20020,AL
36376,20020,AL
36453,21460,AL
36477,20020,AL
36505,33660,AL
36507,19300,AL
36509,33660,AL
36511,19300,AL
36512,33660,AL
36521,33660,AL
36522,33660,AL
36523,33660,AL
36525,33660,AL
36526,19300,AL
36527,19300,AL
36528,33660,AL
36530,19300,AL
36532,19300,AL
36533,19300,AL
36535,19300,AL
36536,19300,AL
36541,33660,AL
36542,19300,AL
36544,33660,AL
36547,19300,AL
36549,19300,AL
36550,19300,AL
36551,19300,AL
36555,19300,AL
36559,19300,AL
36560,33660,AL
36561,19300,AL
36562,19300,AL
36564,19300,AL
36567,19300,AL
36568,33660,AL
36571,33660,AL
36572,33660,AL
36574,19300,AL
36575,33660,AL
36576,19300,AL
36577,19300,AL
36578,19300,AL
36579,19300,AL
36580,19300,AL
36582,33660,AL
36587,33660,AL
36590,33660,AL
36601,33660,AL
36602,33660,AL
36603,33660,AL
36604,33660,AL
36605,33660,AL
36606,33660,AL
36607,33660,AL
36608,33660,AL
36609,33660,AL
36610,33660,AL
36611,33660,AL
36612,33660,AL
36613,33660,AL
36615,33660,AL
36616,33660,AL
36617,33660,AL
36618,33660,AL
36619,33660,AL
36633,33660,AL
36640,33660,AL
36644,33660,AL
36652,33660,AL
36660,33660,AL
36663,33660,AL
36670,33660,AL
36671,33660,AL
36675,33660,AL
36685,33660,AL
36688,33660,AL
36689,33660,AL
36691,33660,AL
36693,33660,AL
36695,33660,AL
36701,42820,AL
36703,42820,AL
36740,46220,AL
36744,46220,AL
36749,33860,AL
36750,13820,AL
36752,33860,AL
36758,42820,AL
36759,42820,AL
36761,42820,AL
36765,46220,AL
36767,42820,AL
36773,42820,AL
36775,42820,AL
