StateCode,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012
45,159565.6849,159965.0418,160337.8042,160593.2341,160840.7101,161007.1658,161170.5622,161306.1877,161391.5137,161328.067,161194.6829,161038.3158,160989.7549,160882.6575,160627.1161,160305.0381,160001.6333,159730.104,159236.1469,158586.2398,157875.6811,157224.8346,156377.8414,155506.4542,154505.1843,153597.0825,152848.3349,152144.3447,151338.6342,150350.5586,149434.2732,148702.9315,148057.4178,147461.4823,147006.0975,146722.1178,146583.8165,146402.9935,146156.4412,145977.571,145918.2695,145782.5393,145427.2944,144933.4563,144302.8659,143612.2502,142928.5418,142158.7081,141302.0845,140308.7028,139491.5549,138721.0942,138018.93,137339.9822,136812.9126,136341.1791,135871.3494,135389.576,134938.862,134712.8114,134684.0963
1,131162.4032,131597.9342,132129.7475,132812.4616,133225.6926,133497.5149,133588.7026,133711.251,133809.2862,133896.2425,133883.8864,133790.4731,133587.6327,133380.9684,133142.8218,132964.1056,132849.2017,132833.5971,132782.2846,132549.3965,132265.6142,131864.0645,131520.0117,131016.9377,130594.6718,130112.718,129641.9949,129049.3898,128465.3981,127854.4895,127270.3956,126664.9028,126087.2219,125607.8646,125218.0234,124899.0115,124702.6585,124562.4319,124297.7849,123922.8907,123478.6301,123035.3108,122458.5364,121824.4975,121244.0795,120775.3113,120230.6453,119589.3295,118904.4505,118309.9745,117890.4684,117555.5401,117300.1291,117029.6093,116732.4914,116430.0314,116088.3328,115734.731,115286.3064,114910.9059,114771.0986
22,149725.0215,150265.6577,150872.5225,151497.6768,151919.0117,152263.3953,152529.9178,152908.6263,153245.5339,153492.7584,153690.1152,153774.9992,153870.1429,153825.6213,153747.3429,153632.4223,153591.5075,153587.5195,153588.2698,153641.2729,153664.9281,153631.8855,153360.1511,153054.0212,152757.2729,152665.1062,152638.2451,152797.6365,152868.3171,152923.5891,152830.6865,152629.4552,152378.4294,152117.2262,152022.0556,151839.4493,151821.0153,151855.7453,152080.1755,152215.4249,152362.3241,152490.8681,152464.7467,152349.8407,152231.0454,152132.2121,151943.685,151477.2502,150663.8015,149771.6804,148959.1897,148441.8336,148066.1558,147866.0007,147733.3693,147642.4654,147488.1365,147389.0248,147253.1306,146988.6796,146756.6214
21,107241.5499,107394.0154,107501.1278,107516.5061,107513.6976,107531.7756,107604.1339,107690.7816,107771.5796,107883.1574,107927.6321,107931.7074,107880.6847,107854.8622,107832.27,107692.6255,107514.9746,107329.8709,107260.5721,107257.3943,107284.6046,107300.0572,107243.1376,107143.2548,107062.6641,107032.5145,106984.3704,106896.6705,106736.0471,106562.6715,106362.3928,106175.4089,105972.848,105823.8145,105720.7604,105707.6379,105688.5938,105668.481,105714.2989,105847.4157,106003.5163,106025.5079,105938.544,105790.3957,105649.5538,105500.8832,105216.6778,104843.3808,104344.0405,103847.6789,103393.4991,103055.705,102786.1201,102538.7736,102309.893,102113.1034,101921.6871,101716.6541,101615.2044,101554.3437,101537.7452
41,264916.0684,265770.8449,266792.9109,268220.5215,269694.0105,270711.1544,271244.4264,271347.0675,271306.8169,270990.2285,270304.3687,269376.476,268013.3494,266968.5404,265687.1417,264381.0844,262547.9507,260546.1767,258492.0656,256270.1453,253964.039,251620.4797,249353.8579,246972.1708,244899.4838,242656.2125,240411.339,237858.2562,235444.2504,233010.7063,230601.3507,228584.3245,227123.7167,226127.3544,225313.3959,224669.4283,224049.2738,223558.7044,223416.3046,223211.8846,222545.0098,221392.1719,219962.7047,218301.1033,216254.2616,214216.1127,212384.5712,210665.2392,209065.2907,207388.2899,205537.0494,203620.9152,201902.0116,200618.9995,199589.2694,198641.6319,197829.5233,196906.0317,195855.2304,194721.2099,193927.6748
40,105086.29,105290.0859,105451.5486,105622.6708,105849.959,106147.2572,106503.0565,106839.9466,107106.2168,107283.5046,107447.2244,107578.956,107627.2302,107689.3947,107587.6657,107599.3979,107639.856,107854.5638,107955.07,107965.3931,107962.1034,108032.1612,108003.1232,107891.1098,107732.5596,107493.3085,107318.0697,107186.3534,107231.5689,107354.3603,107491.0413,107627.2748,107733.4792,107765.6283,107881.0665,108001.0656,108183.0098,108327.7303,108547.9894,108842.8787,109148.0281,109272.5283,109151.2506,108915.2436,108608.7907,108212.448,107657.7083,107179.2382,106831.9271,106623.3274,106386.5446,106120.5094,105818.6376,105552.6874,105445.9692,105463.6524,105572.7939,105483.3995,105310.6819,105088.8712,104960.8921
9,302116.1158,302138.6791,302188.8231,301999.692,301652.9406,300983.8531,300140.1902,299376.0097,298849.7815,298328.243,297413.918,296269.379,294307.3953,292192.5484,289723.8596,287816.0068,286307.4922,285061.3511,283584.3662,281584.683,279116.7966,276527.0109,274078.8936,272030.1755,270227.0788,269081.4327,267720.9057,266411.4368,264418.545,262396.1487,260264.1863,258714.5449,257393.8541,256348.8852,255011.4931,253726.8669,252488.9081,251851.7013,251836.7492,252535.1426,253181.0457,253679.5014,253427.1248,252694.4942,251480.7625,249642.2787,247350.3336,245090.0648,243776.5392,243137.8745,242301.0855,241235.925,239881.7469,238916.1036,237694.6819,236218.7131,234421.6484,232517.4157,230924.513,229450.8144,228258.0401
49,220123.3728,222689.3034,225303.0444,227765.3505,230182.5027,232831.0714,235502.8135,238132.0898,240118.3671,241645.6487,242932.1618,244189.6784,245022.5154,245155.9531,244438.8763,243099.3548,241378.3217,239380.7534,237306.5847,235050.4957,233095.1644,231272.3673,229614.6492,227784.6315,225531.1124,223288.5537,221032.559,219263.5862,217443.6781,215652.6227,213916.3746,212257.0964,210677.3516,209255.2847,208239.1253,207501.3563,206777.9593,206097.899,205514.4139,205213.2095,204885.4013,204078.8365,202646.7365,200731.2248,199073.6688,197563.7191,195944.0389,194004.8357,192190.142,190528.2541,189370.439,188284.2978,187449.0135,186458.1485,185626.1225,185118.5218,184411.9223,183696.7534,182940.8186,182780.6443,182762.4226
19,116374.4189,116621.8462,116853.5073,117098.9067,117227.9676,117272.0418,117268.8715,117353.5111,117461.8136,117585.924,117700.5856,117876.0968,118102.9682,118210.3249,118152.3331,117974.7499,117844.6218,117725.8788,117613.9402,117521.622,117478.67,117393.5829,117300.3951,117193.7093,117042.5564,116840.6492,116663.7055,116560.0917,116498.9457,116400.5894,116321.4587,116222.6445,116123.4398,116013.4713,115929.2135,115867.1961,115869.6474,115940.5195,116152.911,116366.5165,116522.1629,116505.859,116372.1136,116150.9555,115865.0355,115510.5624,115156.0431,114795.764,114515.7878,114234.8676,113948.5508,113647.2961,113355.6199,113117.7778,112951.8438,112849.8027,112812.4729,112791.2394,112823.9055,112886.7206,112904.4024
32,324228.8168,323319.1789,322195.3038,320561.7064,318542.3732,315773.1775,312484.9957,308953.6493,305010.038,301186.1962,295794.0925,289943.7021,282624.9015,274650.2256,266451.7523,259402.4701,253615.772,247382.6997,240692.4471,233680.9634,226608.8115,219895.3987,212638.9526,206271.8271,199845.212,194759.4328,189773.5876,184825.3255,179074.6786,173065.9589,167171.2111,162455.7292,158790.3999,156348.8837,154511.7973,152729.7936,151686.4651,150801.0243,150030.0225,148820.547,147600.9142,146950.4444,146332.9747,145591.9057,144433.8417,143323.7812,142638.2881,141958.3955,140753.0722,139047.9299,137138.2622,135205.7782,133789.1757,132231.4152,131091.0984,129534.7669,128564.0831,127812.6214,127300.7333,126802.2681,126587.4358
