FL,136780,134954,133847,136159,139418,139912,141533,144279,143564,141596,140728,136241,133862,131602,128277,129546,131486,132190,133041,136663,138384,137217,135922,134336,134093,133696,135192,139473,145132,147513,150118,155204,152937,148809,143960,139464,134961,133296,132054,131568,132130,131014,129170,129210,129064,129972,125101,114937,106592,100556,95404,93553,91402,86812,77534,66242,56290,50741,47360,47829,51689,53233,53143,52088,48959,45302,39961,35586,35653,38096,47510,58237,73645,80072,81829,84324,89633,89502,87717,86380,83981,82354,80912,81676,83090,84883,90722,99874,109378,113490,118163,125963,131880,135259,137536,140080,141334,140873,144307,144731,151957,153052,157221
GA,61142,57778,57203,56414,54456,51382,47978,47590,48006,48752,50281,51270,52262,51688,50353,49273,47495,44810,41578,41286,42086,43196,44102,45346,47354,47802,48103,50732,50153,48760,45858,45426,47195,50257,51290,51278,52170,51992,51305,48697,44954,42459,39356,38262,37947,39854,38510,34778,31674,29236,27149,26518,24648,22472,19733,16843,15781,15419,15603,17083,19279,19998,20200,19648,19064,17728,14940,13690,13758,14426,17734,20964,25872,27747,28230,29782,30112,28311,25296,23767,22717,21494,21657,22944,24400,25363,27042,28893,29861,28955,27244,27255,28373,30373,32361,35078,37399,38816,40257,41197,41230,38652,36401
HI,6241,6257,6024,5904,5882,5923,5936,5903,5874,5825,5653,5644,5637,5562,5418,5394,5338,5319,5350,5429,5392,5356,5285,5431,5606,5643,5629,5688,5889,5941,6133,6263,6219,6124,6017,5949,6007,5941,5870,5852,5904,5773,5563,5557,5607,5548,5536,5499,5252,5205,5054,4996,4851,4849,4530,3734,3375,3151,2792,2671,2602,2459,2556,2620,2554,2480,2371,2400,2320,2291,2470,2673,3043,3142,3108,3298,3473,3509,3588,3925,3914,3142,3071,3124,3220,3193,3208,3387,3611,3732,3754,3836,4032,4161,4376,4685,5013,5191,5186,5171,5424,5447,5506
IA,13810,13893,13854,13745,13241,12274,11533,11582,11809,12166,12614,12842,13137,13315,13376,13141,12564,11642,10876,10620,10492,10741,11114,11678,12229,12795,13196,13194,12937,12097,11340,11038,11138,11557,12161,12663,12934,13193,13416,13502,12880,11964,11385,11199,11444,11496,11041,10511,9898,9484,9075,8819,8272,7421,6498,6032,5733,5679,5713,5983,6228,6607,6720,6761,6476,5928,5103,4636,4625,4829,5412,5971,6831,6847,7003,7305,7489,6943,6215,5896,5877,5950,6153,6533,6789,7116,7533,7813,7928,7459,6826,6642,7120,7531,7854,8438,8821,9060,9451,10079,10263,9483,8812
ID,11890,12162,11892,11082,9901,8922,7704,7433,7465,7974,8673,9530,10193,10503,10355,9829,8728,7760,6728,6315,6361,6632,7194,8050,8479,8609,8653,8457,7883,7048,6123,5882,5966,6164,6555,7248,7773,7780,7695,7562,6815,6068,5297,4836,4876,5699,5819,5400,4749,3946,3368,2946,2346,1980,1610,1511,1690,1936,2341,3051,3904,4635,4911,4674,3856,3117,2292,2025,2268,2915,4458,6409,8263,8837,8788,8603,7873,6867,5733,5109,4984,5084,5592,6294,6848,7160,7254,7171,6426,5741,4881,4655,5037,5699,6481,7558,8204,8450,8456,7985,7361,6446,5862
IL,61100,60754,60597,59474,55521,49499,45241,46194,48032,49176,51567,53596,55908,56971,56415,56126,52226,46316,42330,42832,45133,47138,49948,53341,55887,57090,57635,56942,53795,48161,43966,44119,46216,48480,51370,54100,56178,56723,56651,56425,52404,46039,42147,42140,42525,40637,39964,39199,37961,37155,36885,36686,33891,29432,25588,22582,21642,21573,22330,24844,27547,28642,28743,28120,24940,20986,17443,15726,15782,16039,18586,21175,24423,24774,24717,24885,23940,20830,18289,16433,15603,14945,15402,16432,17538,18067,18933,19628,19574,17462,15422,14821,14833,15336,16146,17673,19359,20470,21786,22169,21719,18835,16966
IN,28005,28017,27740,27246,25939,23617,21598,20859,20585,19755,20357,21264,22868,23965,24601,24113,22441,20027,17961,16876,16296,16583,17553,18951,20231,20915,21398,21803,21092,19381,17888,16899,16082,15269,15843,16705,17806,18649,19209,19521,18518,16637,15112,13675,12888,13045,12069,10913,10318,9817,9823,10046,9640,8552,7407,5737,5407,5278,5521,6489,7675,8328,8691,8699,8074,7160,6221,5167,5122,5320,6939,8207,10144,10580,10991,11759,12002,10906,9432,8328,7761,7717,8204,9026,9691,10358,11302,12458,12795,11993,10695,9593,9456,9822,10476,11576,12711,13715,14436,15013,15347,13816,12571
KS,10809,10699,10669,10525,10242,9391,8884,8988,9274,9478,9780,10162,10421,10447,10586,10686,10288,9589,8916,8634,8867,9177,9665,10192,10409,10563,10647,10739,10551,9860,9312,9146,9177,9275,9398,9508,9751,9690,9585,9511,9112,8305,7690,7436,7349,7230,6759,6167,5828,5470,5270,5266,5031,4578,3939,3316,3153,3047,3247,3659,4121,4280,4365,4315,3930,3535,2969,2735,2713,2855,3281,3793,4482,4642,4688,5058,5236,4820,4428,4206,4100,4221,4283,4668,4937,5051,5423,5738,5854,5439,4921,4695,4761,5122,5315,5723,6151,6329,6701,6835,6920,6358,5881
KY,17335,17426,17192,16922,16301,15194,14029,13719,13806,14062,14394,15219,15625,15937,15901,15785,15344,14108,13008,12603,12632,12964,13658,14405,15015,15501,15653,15753,15554,14608,13546,12959,12830,12964,13321,13805,14265,14414,14455,14428,13860,12731,11741,10954,10561,10358,9468,8494,7947,7513,7319,7319,7126,6725,5974,4983,4709,4526,4557,4940,5822,6463,6762,6743,6525,5869,5032,4360,4140,4211,5156,5997,7007,7420,7447,7819,8098,7550,6749,6217,5984,5826,6027,6417,6772,7124,7542,8163,8476,8155,7601,7175,7081,7279,7704,8225,8882,9451,10066,10266,10679,10004,9394
LA,17272,17248,16920,16904,16726,16234,15806,15918,16221,16588,17075,17380,17851,18155,18313,18440,18329,18006,17421,17572,18004,18591,18966,19585,19806,19974,19866,19892,19728,19432,18613,18876,18904,19007,18994,19182,19387,19324,19052,18701,18252,17501,16430,16432,16453,16246,15366,14115,13385,12589,11780,10968,10537,10054,9420,8469,7957,6952,6710,6917,7488,7828,7620,7088,6831,6546,5943,5646,5637,5875,6616,7579,8928,9701,10100,10585,10979,10754,10169,10087,10282,10539,11096,11401,12350,12620,13010,13493,13730,13609,13006,12908,13246,13829,14333,14923,15562,16268,15623,15879,15863,15626,14998
