FL,42536,41430,40684,40220,41930,36888,48092,48218,48128,47012,46072,42740,44084,44696,34132,42470,42934,36324,49626,49350,53332,48354,47160,44744,44034,42754,42124,44876,44556,38220,51570,49304,49268,48732,47558,43840,43146,42380,41908,41592,42204,33628,47790,46364,46502,30544,40072,43542,42666,43628,42872,45376,40284,36846,42060,43618,47676,46308,47524,46122,45324,44384,42080,41760,39178,34156,39724,42718,45336,47464,51418,51344,46184,41680,41008,35460,33738,29752,39734,40160,41006,40440,39012,37172,37508,39098,39304,40772,39672,33820,45834,49294,48164,48350,45014,42020,40174,40168,40604,40252,42432,36390,50524
GA,18700,17082,16564,15692,13854,10328,15320,16990,19700,20356,20352,19356,18760,18050,15860,15410,15060,10944,14528,17540,19452,20414,20572,19588,18618,17438,16180,16232,14266,11976,16050,17838,18756,20974,21544,21860,18532,17924,17196,16712,13352,11088,14920,15872,17754,14094,16512,17402,17076,17576,16460,16748,14006,11938,13908,15124,16950,17726,18292,19270,18644,18126,16422,15940,14778,12036,13312,15112,16708,17980,19606,19816,17260,15892,14916,14372,11726,9300,11096,12146,13824,13724,14692,14512,14472,13920,13796,13358,12258,9072,12490,13982,15212,17038,15878,16608,15468,15040,14950,13418,12428,10444,13026
HI,1780,1734,1558,1788,1704,1608,1766,1866,2028,2020,1926,1908,1856,1922,1800,1986,1852,1632,2032,1958,1808,2186,1944,1984,2078,1870,1692,1904,1888,1680,2158,2138,2032,2224,1942,1872,6076,1876,1912,1940,1828,1514,1846,1856,1896,1388,1408,1604,1636,1820,1690,1640,1648,1536,1492,1704,1778,1862,1856,1856,1724,1728,1920,1712,1724,1506,1620,1822,1722,1884,1738,1700,1568,1436,1458,1344,1346,1116,1174,1248,1256,1320,1354,1372,1264,1242,1252,1296,1256,1276,1370,1394,1460,1530,1602,1528,1646,1464,1444,1456,1496,1366,1656
IA,4712,4456,4138,3900,3344,2292,3182,3910,4708,5268,5282,5084,5116,4550,4432,3802,3206,2544,3024,3336,4484,4930,5226,5104,4828,4672,4376,3916,3372,2352,3006,2834,4276,5664,5532,5288,4996,4564,4320,3976,3400,2348,2988,4028,4768,3892,4712,4978,4684,4336,4206,3996,3248,2488,3072,3116,4008,4854,4820,5118,4348,4352,4104,4180,3276,2560,2528,3188,3880,4596,4678,4860,4216,3826,3976,3536,2822,1976,2406,2530,3420,3908,4156,4016,4060,3870,3644,3448,3210,2140,2328,3098,3984,4112,4124,4276,3820,3824,4034,3966,3312,2188,2900
ID,4532,4148,3412,2904,2482,1844,1918,2656,3630,4196,4848,4662,4896,4488,3892,3018,2682,2092,2444,2944,3476,4302,4676,4612,4326,4072,3724,3292,2610,1968,2470,2640,3240,3978,4836,4656,4378,4012,3714,3516,2556,1942,2422,2940,3810,3358,3944,3952,3920,4036,3418,3372,2412,2148,2132,2658,3324,3390,3740,4186,4360,4160,3836,3116,2722,1948,2212,2736,3338,3848,4566,4958,4084,3510,2976,2704,2088,1520,2020,2204,2620,3008,3700,3402,3180,3060,2596,2424,2052,1736,1736,2360,3076,3558,3706,3620,3404,3128,2944,2432,2284,1816,2508
IL,19576,17858,17256,15252,12820,8684,14406,19054,21762,22328,23084,21794,20184,18986,17820,15044,13068,9344,14122,16956,22128,23054,23860,21732,20796,19056,17632,15372,12570,9028,13610,16838,19876,23014,23166,22344,20028,18388,17236,15462,11264,8680,13840,17276,18818,11882,17428,21352,20842,19912,18706,16824,12722,9918,13012,13928,18626,20532,21568,22194,21160,18972,17184,15472,12648,9040,10872,13410,16462,18496,19308,19036,16576,14048,13428,12184,9654,6380,9156,9998,11852,13164,14242,14156,13716,13250,12240,11290,10174,6224,7720,10782,12700,13946,13770,14628,13738,12916,13106,12088,10096,6892,8660
IN,10640,9850,9144,8524,7334,5036,6658,8078,9674,10600,10900,11030,10716,11308,9140,8444,7550,5336,5874,7254,9280,9966,11162,10900,10632,10018,9300,8824,7136,5084,5936,6600,8592,10436,10982,10976,10766,10092,9678,8902,6708,4750,6490,7120,8980,6436,9152,9606,9640,9516,9832,8812,7300,5586,5808,5652,7558,8574,9240,10240,10352,10242,9568,9088,8092,5842,5856,6382,12398,9308,10460,10862,9648,9022,8790,7784,6596,4792,5172,5878,6650,8112,8378,8384,8216,8150,7912,7486,6590,4764,4966,6056,6732,8388,8552,8656,8680,8516,8114,7950,6608,4668,5160
KS,4424,4040,3770,3500,3086,2012,2994,3838,4566,4628,4726,4640,4564,4156,4068,3606,3190,2576,2980,3232,4460,4858,4866,4712,4228,4170,3768,3830,3364,2476,2864,3234,3780,4860,4774,4872,4446,4076,3788,3548,3060,2008,2964,3272,4262,3318,3872,4252,4048,4064,3836,3748,3050,2480,2784,2664,3846,4208,4444,4516,4348,4030,3784,3616,2970,2548,2296,2830,3702,4560,4746,4938,4112,3646,3384,3472,2586,1740,2304,2372,3054,3568,3636,3724,3424,3218,3148,3132,2834,2136,2068,2712,3652,3944,3682,3712,3720,3308,3414,3166,2660,1964,2146
KY,5792,5474,5216,4888,4168,3484,4576,4892,5708,5920,6198,6346,6048,5744,5228,4980,4334,3272,3750,4660,5760,6038,6344,6292,5946,5984,5180,5022,4156,3280,4568,4380,5312,6158,6200,6116,5890,5484,5174,4902,4196,3248,4276,4416,5168,3934,4740,5304,5346,5264,5086,5064,4262,3458,3756,3728,4780,5262,5444,5550,5928,5758,5152,4968,4562,3518,3368,4066,4886,4772,5624,5934,5484,4892,4626,4276,3622,2520,3404,3556,3870,4444,4420,4580,4600,4380,4260,4190,3790,2996,2996,3704,4472,4674,4958,4904,5134,4740,4850,4468,4040,3062,3128
LA,5480,4942,4780,5132,4278,3732,4856,4894,5658,5832,5754,5272,5420,5114,4868,4854,4850,4032,4616,5284,6328,5988,6130,5884,5584,5314,5000,4818,4350,3800,5244,5366,5604,5898,5796,5948,5268,5164,4790,4492,4356,3584,4722,4936,5616,3504,4820,5284,5266,4936,4320,4244,4222,3644,4400,4798,4994,5168,5368,5600,5356,5070,3286,4332,4234,3530,4212,4492,4786,5388,5314,5590,5080,4632,4520,4024,3414,2632,3794,3706,4520,4620,4488,4542,4532,4334,4248,4048,3560,3352,3538,4060,4624,5134,4722,4772,4510,4516,3978,4110,3720,3160,3516
