HI,86,87,88,89,89,82,80,79,79,77,79,76,78,78,79,78,77,78,78,73,68,71,73,72,71,72,74,78,75,78,74,72,71,71,72,72,72,73,73,76,76,80,82,80,73,79,89,96,91,80,75,77,81,87,98,83,67,61,56,50,49,51,45,46,47,52,58,49,46,45,40,43,45,53,59,60,61,68,72,71,67,71,65,65,66,68,66,61,62,67,71,70,67,67,65,65,68,74,77,79,80,82,83
IA,60,65,67,68,73,83,91,89,66,59,57,58,59,61,64,68,72,82,90,88,70,60,55,54,57,60,61,67,74,84,89,94,81,61,51,54,60,61,63,66,70,81,88,87,67,66,68,68,63,60,62,62,67,73,79,73,58,45,40,43,43,44,46,49,53,60,72,67,49,40,38,39,40,48,51,52,56,68,81,81,62,53,49,47,47,48,51,53,54,66,77,74,52,48,48,51,53,56,57,57,60,70,79
ID,57,61,67,73,81,88,93,90,63,46,42,43,47,50,57,64,70,82,86,74,50,44,38,39,45,49,53,58,63,72,76,67,55,43,38,38,44,47,52,56,63,72,76,65,41,41,53,51,48,45,45,49,52,57,54,33,26,27,26,25,26,30,35,44,52,55,57,34,28,26,24,27,36,48,58,64,70,79,84,73,54,47,41,40,46,52,57,61,65,73,80,69,47,42,40,43,50,57,61,66,71,77,79
IL,58,61,65,67,72,82,88,76,52,51,51,52,53,57,58,61,66,76,84,73,51,48,47,47,51,53,56,59,63,73,81,72,56,45,45,47,50,53,57,60,67,80,84,66,51,58,66,52,46,45,46,47,53,62,68,57,46,38,36,35,36,38,40,43,47,56,63,46,38,33,31,32,34,38,42,42,46,57,64,51,45,40,37,37,37,37,38,39,43,52,60,48,37,37,33,35,36,37,38,39,44,52,59
IN,59,62,65,67,72,80,87,84,63,57,54,52,53,56,60,63,66,73,82,81,60,50,44,44,46,50,53,57,61,71,80,81,68,53,47,47,51,51,53,56,60,73,82,78,55,54,59,51,45,44,42,40,46,54,58,54,40,33,29,27,30,31,34,37,40,46,53,40,33,28,25,28,30,37,39,41,46,57,66,60,47,40,35,36,38,38,39,41,46,56,65,61,46,40,37,39,41,43,45,46,51,60,68
KS,60,62,65,66,70,80,87,80,58,54,57,57,58,60,60,64,69,79,86,83,61,54,52,52,56,60,62,66,68,78,86,87,72,55,51,54,57,58,63,67,67,76,82,82,64,66,72,65,55,56,53,52,54,62,72,68,51,41,38,38,40,42,46,47,51,57,67,57,43,38,38,37,39,45,50,51,53,66,77,73,59,50,47,46,46,50,50,50,54,66,77,76,53,47,46,48,48,50,52,54,58,68,77
KY,66,68,71,73,78,86,93,90,69,65,61,59,61,66,67,71,73,81,91,90,67,60,58,57,60,60,64,67,72,80,87,87,76,64,57,57,59,61,63,66,68,79,87,87,67,71,74,73,60,53,52,51,53,59,67,66,51,40,36,36,33,36,41,45,49,56,67,60,44,37,32,33,36,42,47,47,53,62,72,68,54,50,46,44,44,45,46,47,51,59,71,66,49,47,44,46,46,47,50,52,57,65,74
LA,70,71,73,76,79,85,89,81,67,67,66,67,68,71,73,77,78,81,89,88,71,65,65,66,71,74,77,80,82,88,94,91,78,71,68,72,74,76,79,81,82,91,94,89,70,76,82,87,73,68,71,74,74,77,79,73,60,55,52,50,48,51,61,68,66,67,73,67,49,44,43,41,43,52,58,61,66,75,80,72,64,61,60,61,64,64,66,70,72,79,88,86,68,62,61,65,68,70,77,79,83,86,93
MA,58,65,65,61,66,80,89,83,57,44,40,42,50,57,53,52,60,72,83,76,47,38,33,38,46,51,51,51,58,71,79,74,57,41,38,42,52,54,53,53,60,78,85,67,39,51,60,40,40,38,36,36,50,65,67,44,26,23,22,22,31,32,31,31,40,52,58,30,21,17,17,19,29,36,37,34,43,58,63,40,34,28,25,29,37,37,33,35,41,55,59,39,31,27,25,30,38,42,36,37,46,62,63
MD,58,64,65,66,68,75,82,74,51,45,45,50,53,56,58,59,65,71,79,72,46,44,43,46,51,53,56,57,59,68,76,70,54,40,41,45,51,52,52,53,60,72,77,64,43,49,59,50,42,37,33,41,44,51,54,44,35,31,30,30,31,33,37,39,41,48,52,37,31,29,29,30,32,37,42,40,44,54,59,49,41,36,34,36,37,37,37,37,40,47,55,45,36,35,32,36,38,39,39,37,43,51,56
