StateCode,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
45015,8.683335936,0.660838156,-1.484260316,3.079470199,-0.764937359,0.254921399,-0.106956188,1.96969697,3.86726102,7.860453583,4.606705807,-3.391205856,10.23150822,10.16604756,-5.699011499,14.60966032,6.907631593,3.974558833
45019,1.490292273,9.220876941,5.782760276,-8.284817746,-0.320616272,9.036352647,-3.795288062,6.381577593,3.122219213,7.073985143,-0.441493369,6.560261847,4.795640327,12.72002395,-6.07988145,7.390372421,11.44053114,10.79837315
45031,9.48822001,10.38316935,-6.507717951,-10.78469369,-6.209273364,20.81210437,-15.8543131,-3.790778203,9.39887605,-2.103835387,8.60503508,1.693765099,-10.52715868,33.06882253,-16.73541676,9.593171966,8.876277516,6.999571271
45035,0.406958187,7.118731622,15.00139108,-15.91052046,-2.359123864,-1.261098452,6.706322365,1.761843504,3.105419369,-3.120280043,5.715228994,11.29656297,3.569869676,2.652096692,-6.890029326,10.2486575,5.402162579,5.889607134
45041,3.01893919,5.894984942,1.382431497,-1.334309062,-3.896360759,3.498662276,2.532809704,0.193934692,4.396215915,-5.249374247,13.79791111,-7.727194566,13.65277551,2.648083624,-0.872568987,4.461677913,-4.498650212,9.059704807
45045,-1.411105091,14.14097969,0.167476135,-4.568634008,-1.044632298,7.526834126,-3.976454123,5.735842586,-0.125684168,5.358447674,6.61555059,1.033573055,9.423400222,5.277609794,-3.089486431,9.801031688,4.651298512,6.421481151
45047,9.643594019,6.498595107,-5.056397347,7.010834927,-26.60393091,15.80758245,0.686697685,-5.272388164,11.17282318,14.23964474,-11.61090286,5.897905759,4.429832151,-0.229612972,-2.531555471,28.12735815,-10.60870887,19.90988693
45051,5.225708319,5.801646413,-1.984531308,-2.376733527,0.597759009,-6.719110855,4.069632495,4.267340718,2.200831848,10.557894,-4.038619297,0.129326407,7.37084063,9.474585602,-3.955749246,8.239286407,9.394650567,12.97839936
45059,0.115104601,-1.937282631,23.76234722,-11.54082986,-2.907552676,-2.997380394,-0.773210529,1.432418495,6.304016268,4.87804878,11.56204084,-8.313274899,2.662406816,13.91006465,-6.023126774,27.60625592,-4.044221532,3.791364523
45063,8.746988475,1.464982137,2.698821724,0.090022793,-1.266840171,-1.808349808,3.262864926,3.203731315,-0.018521949,2.310114857,3.902076883,4.877836255,-0.044864658,2.455364564,1.799419123,3.283391776,12.34722222,5.008172965
45073,3.733235732,1.305476448,2.423066398,-11.13405067,17.11263564,-3.955843913,-9.160936019,8.511890431,-13.32675952,23.05810745,1.102482319,14.7429303,-6.096589098,2.27446321,3.08480624,1.412730676,9.529101264,21.6124649
45075,-1.639344262,7.32996633,-5.332998714,13.32803128,-6.491417878,-2.964445417,10.16402952,-8.644142168,-8.165225744,34.57461646,-15.92392994,10.77657935,1.638523382,3.188635866,-2.384552134,-5.752404761,15.36975638,29.60565774
