CountyCode,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012
34001,265829.133,265245.5406,265371.91,265264.4631,265374.8343,265045.7427,264005.4939,262177.8982,260254.7488,258707.6926,257096.6647,254743.8031,252374.4201,251075.5359,250526.713,249808.8526,247945.3171,245750.7571,243274.7289,240630.598,237958.1732,235089.7501,231986.9307,228852.5021,225806.9633,223280.6688,220755.5568,218003.3476,214989.7275,211919.0901,209518.3572,207954.297,206841.3554,205664.4298,204313.4067,203453.8217,203231.0181,203670.9228,203534.9548,203298.8642,202732.5952,202377.632,201534.2013,200166.4844,199153.4106,198262.2346,197861.6563,197108.0525,196415.3373,195481.6939,194500.4923,193308.2415,191234.0718,188791.5426,186533.8637,185335.56,184551.4632,183501.942,182139.7152,181022.743,180635.936
53035,316820.9475,316633.3586,316843.7538,318032.7194,320417.4598,321517.5524,321795.8344,320808.5816,319959.6874,319234.9291,318454.5229,317124.9017,315792.8749,315916.5725,316560.9742,315571.2915,312162.7268,308153.7904,304784.4961,302292.9127,300433.0436,298167.5844,296237.4062,293811.9852,291833.5747,289348.6096,286424.587,283188.6976,280328.7927,278535.7799,277121.7008,275595.6463,273395.1569,271801.7859,270520.8756,269166.0712,267737.2892,267076.2298,267614.2373,268057.6514,268543.9495,268291.6581,268031.4492,266545.0299,265381.7752,263868.1833,263265.5689,262862.8028,262356.8601,260403.556,257364.4498,254285.4428,251634.1442,249925.2175,248568.843,247728.1369,246013.227,243982.7534,241462.9493,238877.9877,236697.4307
6087,645505.5279,641580.1546,642020.3489,645128.4588,648523.5739,648692.2462,649007.4144,646531.5361,644202.6026,641336.6362,641956.8556,640978.1524,641256.7459,633550.0105,621797.4777,607989.4715,594300.3539,583686.7619,574149.8816,569645.9945,564313.3648,555959.5119,541985.5363,527575.9866,517277.069,513395.0343,510342.6499,504316.2901,499460.6311,495715.4817,494196.0463,488391.8274,482908.6814,477532.1173,476624.3482,478236.6974,480650.7553,482005.0628,484666.2084,489532.5378,492631.6958,495059.9742,494635.1411,492558.2922,486325.4204,480203.747,475036.9457,472810.7175,469625.7195,467565.2828,463753.006,459147.7358,454047.5032,449511.1034,444763.7787,442475.5981,441990.0678,444199.6609,443120.1165,440830.3791,437733.469
18141,,,,,,,,102698.9303,102742.9397,102760.9835,102986.9178,103325.4793,103680.6068,103679.7882,103386.0031,102890.7275,102594.7704,102531.8219,102549.0792,102354.9066,102051.2988,101768.165,101442.9054,100936.9524,100269.9351,99487.61499,98671.81164,97151.49875,96360.67095,96045.69404,96715.1168,96575.66411,95996.80223,95222.24174,94938.02,94884.25971,94938.29078,94512.59199,93925.0979,93436.77985,93382.31213,93559.37219,93637.1632,93660.65142,93478.79239,93145.07288,92649.47291,92062.80084,91403.23509,90819.13202,90181.22816,89769.65353,89325.36656,89134.86871,89016.42238,88921.61886,88838.97374,88467.75006,88033.62806,87416.45484,86784.97165
42049,106878.0297,107033.9544,107184.5571,107399.4364,107526.5563,107703.0901,107773.5772,107760.257,107632.7603,107504.6305,107358.2869,107228.9087,107180.0947,107390.1164,107543.3267,107618.653,107507.529,107468.5453,107644.0991,107834.5143,107956.2824,107795.2892,107516.8133,107434.04,107346.9178,107322.4947,107154.6002,107159.0002,107218.2092,107476.4055,107726.4605,108127.2203,108492.3215,108986.1826,109489.2101,110034.7453,110447.1894,111005.9899,111715.9661,112403.2078,112765.4447,112826.6523,112764.6667,112531.3795,112137.6104,111505.229,111097.2895,110693.2912,110604.9406,110541.7047,110727.2039,110879.5137,111000.3184,111074.3177,111251.0773,111457.6539,111513.229,111469.5427,111303.7986,111156.6469,110945.4704
9011,278459.6365,278350.657,279255.4979,279890.224,280237.1619,279488.9654,278619.7628,278121.0838,278625.6796,279053.7802,278914.459,277596.6674,274636.2759,271671.8711,269172.4529,268247.3809,267170.8552,265692.2638,263511.3689,261313.905,258669.8972,256008.6733,253169.3043,251490.3663,250542.6829,249576.8112,247450.2848,244732.4482,242800.4542,241359.4095,239854.5357,237869.3976,236145.1608,235151.9952,234196.9645,233542.4677,233231.0549,233306.639,234079.2821,234645.685,235290.3844,235292.2312,234659.3966,233776.0454,232542.1279,231155.3318,228896.2801,226723.807,225147.8755,224946.8736,224233.8349,223261.5326,221535.6835,220876.6825,219921.7255,218582.4128,216363.5551,214089.833,212200.7155,210863.3075,209847.852
24021,379882.4507,378665.4915,377607.6552,377850.7265,377194.5223,375697.6588,372753.3664,370211.2346,366716.4259,362321.3074,359308.8487,357078.6877,354462.2806,351925.0698,349226.8712,346152.5253,340135.3157,334115.444,328937.0626,324033.7517,318881.3512,313966.0858,309748.9672,304955.0419,300080.5227,295222.4942,291026.7465,287662.3302,285616.4766,284200.3999,282758.6667,282106.0288,281629.0556,281307.91,280367.0157,279718.8824,279760.5539,280715.3069,282535.951,283508.9329,283126.5439,281507.9348,280155.4079,278754.2404,277689.2796,276389.8006,274748.9547,272498.5872,270684.8395,269424.0692,268114.3455,266507.5681,264605.9092,263739.0491,263278.317,263153.0687,261840.9943,260654.9571,259893.4321,259701.2211,258850.3503
55009,151894.1552,151984.9433,151848.3243,151693.0477,151563.1365,151637.7001,151731.5718,151727.3631,151538.6327,151106.1225,150607.0403,150378.3281,150371.2464,,152997.6498,154739.9301,155168.0953,156857.0979,158982.1386,161732.0788,164489.0392,166365.7096,166818.3463,165371.491,163939.0824,162209.486,160844.2562,159255.2434,158644.2166,158894.7969,159631.0725,160443.5928,160540.0852,160144.9423,159595.1795,160173.2809,159645.3964,158383.1711,156261.2436,155574.7339,155448.0178,155510.9942,155385.9558,155179.2566,154001.5142,152014.3725,149536.3414,147565.3028,146550.6155,145934.5522,145136.0344,143910.4868,143408.0765,142458.2241,141701.3015,140593.258,140151.0844,139175.1326,138226.7268,137511.7109,137256.1386
37021,215047.8086,216637.3989,218209.7391,219115.5497,220145.2501,221516.7814,222891.9487,224065.6523,224946.4445,226220.8452,227322.6245,228130.6326,228592.3545,228655.357,229054.6314,229905.3615,231191.1485,230658.8589,228793.0907,226896.1609,225998.4583,225386.0316,223803.9916,221958.4453,220260.6905,219031.3236,217952.7573,217144.5346,216331.3762,216147.2497,215689.085,213927.89,211584.8497,209382.5294,208630.9582,208236.318,207369.0261,205853.9692,204251.935,203284.302,203200.0107,202815.1011,202484.3403,201081.3864,199647.6211,198212.8944,197820.7241,197693.1204,197284.1275,196875.3482,196565.3402,196636.3205,196616.5014,196606.764,195850.0845,194591.5241,193103.9396,191899.6022,190754.3242,189450.9641,188237.6844
48479,,,,,,,,,,,,,,,,,,,,,,,,,127815.1404,127725.2058,127758.2959,127709.8485,127647.2115,127314.0356,126883.6903,126573.8061,126378.5758,126245.6166,126007.564,125815.0784,125609.6367,125411.1722,125259.6977,125185.5188,125171.3426,124982.6841,124763.3773,124613.7404,124565.1402,124512.921,124319.793,124076.9683,123657.972,123193.3604,122743.9438,122437.828,122155.8595,121857.5924,121567.811,121444.4691,121507.6456,121682.4169,121828.1406,121943.2816,121990.5535
17119,117022.5667,117047.9984,117007.5729,117224.8842,117540.3445,117904.7578,117990.9617,118106.2729,118037.7622,117930.4039,118247.2129,118471.5126,118461.9839,117802.8328,117505.5392,117475.014,117679.6201,117599.0032,117239.7379,116665.7423,116165.47,115764.8404,115332.6271,114796.8241,114883.008,115326.0919,115832.5254,115689.0503,115169.8545,114564.7418,113998.5626,113541.9984,113249.3883,113105.0644,113106.1264,113182.3636,113259.4243,113309.0949,112730.6528,112742.9627,113020.7628,113915.5304,114438.973,114903.5039,115282.7366,115333.6599,115018.811,114532.8895,114070.8455,113610.273,113197.9729,112693.236,112324.3565,112099.641,111844.8664,111657.6662,111444.1305,111078.0513,110447.6762,109788.8993,109456.9679
12109,336553.7356,336479.4043,335941.0954,335255.1706,333916.834,331587.1626,328364.0047,324610.8727,320935.9867,317306.5704,313165.5144,309431.1736,305668.4949,302057.5837,297583.363,292502.4624,286928.1162,282313.2092,278647.2489,275785.1169,272360.9349,268634.918,264802.5612,260571.8263,256320.1346,252185.6061,248509.3729,245149.8198,242701.5519,240793.0792,239607.5153,238149.5887,236376.3636,233639.2949,230837.475,229485.5746,229197.2869,229181.4864,228668.1219,228245.731,227677.1208,227063.3834,226139.3545,224874.5374,223219.1306,221192.7273,218481.6346,215358.3686,212462.1043,210929.5759,210339.6057,209320.492,207981.857,206036.86,204773.6258,203937.472,203014.8539,201974.5172,201264.8386,201126.5779,201390.3791
27163,278122.1969,278883.7542,278949.8634,277828.5547,276693.0203,274916.1476,273160.7629,271519.5187,270536.6226,269709.0051,268952.0856,268170.4705,266659.2154,264254.2096,261808.7095,260100.1308,258843.0302,257486.237,255626.6142,253132.6844,250445.8622,248008.5256,245290.023,242379.2319,239341.8402,236945.809,235369.6375,233960.1218,232774.4423,231375.1229,230429.8467,230027.9864,229021.3391,227265.8386,225037.7596,223916.2327,223730.9967,224432.0167,225602.0465,226560.9557,226685.6647,226238.8428,225654.4783,225014.4827,223976.1349,222791.51,221838.1437,219380.1637,217138.4457,213691.6069,211656.3582,210060.2771,209160.4849,207852.0403,206103.1301,204810.5392,204465.6084,203975.3898,203266.9021,202001.532,201075.73
22103,216675.8654,217551.1499,218462.2023,219173.3186,219892.6302,220687.165,221560.1805,222088.034,222295.3791,222255.5357,222363.7058,222563.2384,222984.0391,222862.7181,221489.7275,218287.1073,214889.7273,211991.03,211447.8832,211017.5581,210728.1217,209338.4873,207999.5464,207390.4783,207137.8966,207433.0419,207352.825,207987.536,208307.7087,209392.0761,208789.1804,206667.7714,202606.9477,199687.3966,199053.1803,199919.0384,200395.4564,199933.3719,199650.3249,199730.7227,200417.0412,200512.3446,200319.0194,200139.4895,200857.6351,201716.7735,202706.3896,202905.1941,203346.3252,200956.1075,197784.093,194149.2351,192721.5158,191890.404,190753.294,189615.2532,188067.9448,185928.873,183917.333,181999.9174,181785.0162
6041,833296.034,832643.3059,830308.323,825396.6422,824093.4978,825836.8314,829337.5437,834190.7308,836184.5302,837857.9642,836823.1643,834208.1644,821821.9745,810245.6223,800582.7528,796546.707,786357.2837,776288.4012,767444.088,759847.8127,749351.4244,736249.5314,721966.5018,708264.7765,696239.1655,686149.9343,675038.0718,670982.4106,670396.1998,669210.5162,660053.1342,645571.3248,635656.7162,629219.2783,630191.4564,635509.3897,642719.1105,645470.1201,646073.8196,642446.4721,642855.4031,640729.5753,642979.3403,643284.1973,640329.7631,635540.9832,628540.1651,622215.9804,618733.2141,615600.5432,611684.7902,602022.4313,591198.8444,583272.7521,578230.6408,574429.351,573375.5676,571797.3446,571341.1561,569534.9702,565545.913
13057,224110.9505,224892.7999,225660.3474,226313.3716,226871.1915,227286.1456,227596.6198,227873.195,228040.1972,,226569.45,,223779.855,222415.7753,221622.8023,220974.8453,220349.1861,219554.1355,218531.0423,217162.0039,215989.385,214918.6298,214062.5839,212850.556,210898.8639,208501.849,205304.9932,202688.3363,200244.125,198588.6957,196975.8083,195606.4325,194333.4652,193019.9872,191986.2581,191238.8624,190566.9222,189875.3704,189506.955,189280.1105,189594.6025,189763.2877,189552.6146,188450.8002,186600.9231,184800.3081,182489.6204,180001.8237,177499.3498,175764.0493,174647.5588,173256.3225,171005.5479,168445.4938,166345.3866,165090.8872,164138.6303,163586.8323,162944.2735,162443.9274,161890.4797
26077,134581.2655,134266.0816,133816.7749,133259.1413,132456.6663,131858.8953,130728.7275,130244.9269,129580.531,129491.698,129346.8047,129294.521,129841.3643,129807.1987,129394.1357,128535.7851,128747.0004,129629.3359,130202.6301,130030.1503,129526.6519,129105.433,128801.0101,128523.2607,128156.8491,127919.3663,127463.5847,127018.9917,126228.6224,125200.7623,124164.7626,123344.0496,122870.8103,122456.49,122002.8422,121570.503,120957.3629,120662.0258,120596.4102,121131.3712,121402.0615,121691.0902,121561.8967,121416.1006,120921.517,120300.9709,119387.1078,118477.7979,117550.4833,117127.8315,116661.4067,116385.9891,116086.0567,115924.5095,115671.3437,114915.1153,114089.6842,113506.5887,113032.8396,112764.1299,112495.5943
49057,163585.6614,165282.7302,167197.439,168710.0574,170184.7606,171189.9565,172272.5499,173502.433,175147.4966,176931.6194,178868.8152,180616.8597,182177.9149,183435.793,184501.9638,185210.746,185107.4629,184486.3163,183613.6837,182595.8367,181428.4878,180204.5555,178409.3427,176719.6936,174195.8063,172882.7224,171611.4078,171071.9664,170108.3125,169208.4201,168377.6981,167596.6564,166787.8806,166494.5379,166442.967,166509.9542,166237.2727,165722.9442,165235.5241,164964.0262,164676.4972,164319.3821,163507.4774,162515.9824,160604.6567,158506.5768,156363.0081,155022.4807,154345.6163,153811.7988,153663.3698,153267.2053,152918.0515,151984.583,151104.0068,150630.0429,150694.0911,150580.72,150165.9504,149527.635,148725.3818
17163,141612.8679,141467.3112,141466.1073,141613.2126,141944.5618,142108.7182,142245.4616,142431.9592,142557.7384,142419.3685,141823.8588,141191.2862,140040.902,139064.6563,137778.4822,136780.2236,135935.7179,135198.526,134287.5757,133031.6701,131924.1731,131208.5537,130769.7371,130125.3046,129463.6434,128878.2532,129213.4373,128871.5075,128310.9699,126744.0832,126381.7613,126471.3645,127048.4432,127320.8033,127509.1006,127433.405,127347.0604,127034.5183,126768.8522,126732.4205,126878.053,127143.8366,127073.2514,126666.8914,126026.1762,125306.44,124439.6516,123622.6816,122740.5229,122357.593,121949.2884,121352.3949,120018.6359,118559.7185,117296.9544,116262.9101,115607.3458,114835.9756,113962.1035,112854.458,111878.8525
24025,315839.0676,316805.5462,317427.3164,318009.7168,317298.4697,317242.9394,317052.0852,317526.0063,318345.3088,318896.808,317771.0642,316359.3816,314198.7903,312523.7614,311365.3065,309916.8925,308689.4757,305971.1999,303348.7863,300229.8834,297270.2185,294229.7426,291927.6131,288922.6324,286182.2783,284256.9755,283036.3376,282816.4221,281106.2873,279415.2826,276631.4601,274266.5866,272659.782,271463.8944,271153.6105,271377.5851,273350.593,274640.0882,274942.9512,273291.5389,271615.2015,270104.2774,269329.8645,268922.1425,268433.2615,267028.6472,265254.6633,263441.6882,261597.1369,260655.2963,260792.0647,261114.5496,260853.924,259732.3431,258396.308,256739.3963,254746.4747,253321.0401,252062.6529,251394.1262,251287.6771
48309,,,,,,,,,,,,,,,,,,,,,,,,,112637.7385,112612.0505,112779.8467,112886.2599,113016.7671,113000.0147,112868.6848,112287.5382,111715.684,111249.4018,111230.6978,111258.8371,111336.0075,111205.6075,110957.8226,110542.0938,110432.3033,110495.6627,110952.6852,111178.4079,111193.8049,111073.3589,111144.5209,111408.9702,111445.8772,111315.739,111268.808,111388.1992,111465.8269,111349.4396,111402.8399,111452.5113,111210.3677,110677.7081,110207.1863,110039.9775,109951.2788
42041,184505.4015,184962.7184,185806.449,186892.8714,187950.3864,188494.0301,188682.3712,188926.4078,189137.7696,189447.6399,189749.4843,189939.9888,190186.1071,190449.7338,191448.6315,191969.9654,192749.654,193103.4029,193783.2195,193825.8231,193354.7191,192403.8466,191888.2316,191513.4771,191657.7319,191173.0688,190633.4127,189925.6875,189859.867,189698.293,189874.0727,189855.5444,190016.1377,189995.8078,189857.1652,189740.5113,189630.0027,189877.9858,190064.8953,189966.9303,189429.2885,188903.2323,188370.8868,188096.7289,187481.9422,186803.2998,185926.4901,185307.5858,184990.5569,184807.7524,184254.0291,183572.3663,182958.4716,182952.6894,183003.1492,183051.9143,182779.4321,182630.2735,182278.1412,181963.9971,181644.7844
48245,97895.17754,98489.61678,98922.37403,99243.84721,99747.87423,100375.0355,100948.8058,101436.0752,101866.2002,102284.7217,102687.1702,103068.4316,102736.2482,102170.3992,101487.8535,101401.8538,102088.5509,102860.7043,103684.4875,103810.53,103741.3066,103529.5112,103453.3926,103488.3028,103539.3881,103521.9507,103577.3359,103600.3306,103500.9076,103312.4286,103109.9461,102893.8336,102542.0128,102308.1136,102114.0119,102024.1606,101896.9206,101810.9874,101803.6,101711.96,101688.8361,101677.5546,101740.7008,101867.1396,101843.7973,101713.3763,101389.8152,101199.4824,101114.6694,101099.8881,100995.4102,100930.7078,100678.9991,100453.9656,100192.8222,100037.8535,99999.63315,99710.61354,99424.31559,98904.75337,98491.34993
53077,148050.5602,148935.8429,149805.2364,150707.7092,151484.9247,152067.8129,152499.1211,153136.8408,153837.9507,154386.8547,154598.3998,154632.9214,154678.637,154534.3266,153947.7539,153690.1065,153789.3966,154377.5731,154484.8311,154303.2724,153802.4338,153591.9795,154073.5802,154780.4249,156514.7008,157584.863,157999.1329,156397.6445,154561.7273,153868.8943,153665.9512,153157.321,152287.1781,151575.3428,151107.6967,150402.4638,149488.5285,149244.2522,149925.8725,152067.1992,154440.012,155784.4603,156109.9042,155895.5363,155704.1363,155409.8245,154436.0911,153666.0502,152827.3187,151886.3239,151034.3565,149993.8333,149042.0117,147683.2702,145442.5316,142946.0223,141037.0127,140148.9405,140729.4544,141120.6083,141839.6559
29047,150885.8763,151232.5543,151523.7859,151746.0408,152032.8441,152351.4815,152664.6949,152687.2652,152574.5368,152341.6215,152003.4779,151657.3308,151212.1235,150487.3154,149631.8599,148818.1379,148389.8175,147894.0636,147253.6166,146433.8766,145883.7877,145641.3666,145717.445,145471.7338,145347.3748,145276.3355,145576.1713,145683.6011,145481.7753,145172.6604,144877.7787,144655.6818,144390.655,144226.9441,144336.802,144600.7789,144602.1971,144252.4732,144172.9682,144471.3459,144963.3444,144973.8175,144580.0415,143847.4196,142820.7004,141668.01,140298.7639,139171.9533,138119.7918,137149.7201,135890.2057,134798.575,133760.8492,133052.5045,132549.2975,132343.5611,132260.9937,132032.2188,131796.2919,131408.8111,130928.7505
51550,277165.5954,278653.2663,279173.658,279937.4279,280411.108,280950.6756,280754.8782,280566.1198,280497.8043,280745.8975,281026.042,280545.3664,278896.4367,276991.7769,275613.2873,274311.1733,273671.1229,272815.1334,271987.9951,270049.6524,267767.8022,266447.379,265353.8195,264504.4067,263022.3591,261670.6071,259787.184,258255.1321,256682.8156,255750.6419,254509.8647,253702.0536,253080.9372,252173.1824,251486.8713,250236.7107,249580.5497,249216.588,249235.2198,249560.8033,249273.5811,248616.265,246965.5046,245200.2026,243697.5375,242342.6454,241153.8022,239996.5941,239061.8985,237663.864,236586.6395,235127.7737,233795.5299,232653.5783,232069.8223,231809.5567,231161.4133,230820.6986,229916.9759,228821.9924,227172.1324
