RegionID,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025
395078,1362.276756,1370.599926,1385.794766,1394.776629,1411.060498,1424.268296,1442.742006,1451.931654,1456.65991,1456.821928,1447.41551,1448.050386,1454.448424,1474.569412,1484.913321,1501.488126,1523.309591,1547.163494,1563.694648,1566.214179,1564.79308,1560.188873,1553.603428,1551.900549,1560.144155,1579.903847,1605.860206,1626.714822,1648.76653,1667.122913,1679.174281,1683.438658,1678.953859,1670.331592,1656.180963,1649.308508,1653.52928,1665.72708,1680.410942,1695.671561,1713.317326,1728.53847,1736.624945,1736.539592,1729.560377,1719.043412,1714.278488,1714.808801,1721.429836,1732.650957,1746.397065,1764.377578,1778.837707,1794.063768,1804.256114,1810.109508,1805.834631,1797.697554,1791.1179,1794.796883,1807.023007,1822.022964,1840.078232,1839.690131,1836.039367,1826.471183,1829.10827,1826.14594,1810.094112,1782.753383,1752.384334,1729.933508,1730.332438,1742.66865,1769.896997,1799.164592,1839.482012,1885.08632,1932.364022,1972.9041,1997.63083,2002.556456,1997.547601,1993.716184,1998.781647,2016.231521,2040.263292,2068.202925,2099.194079,2132.463433,2159.911244,2167.765627,2158.203916,2135.568404,2108.76551,2089.253963,2082.916604,2092.993381,2112.474352,2126.125394,2141.784684,2153.016412,2166.56568,2173.551835,2169.621764,2158.081617,2141.463357,2134.701777,2141.226931,2157.360086,2177.938175,2198.233643,2219.702708,2235.546855,2248.017193,2249.047173,2245.523201,2233.649853,2225.207413,2218.707354,2224.265221
394865,1126.432338,1132.806572,1141.518611,1150.39599,1160.497978,1167.028581,1172.302123,1172.639569,1171.44645,1164.407407,1164.96429,1166.696352,1170.507524,1173.260542,1179.743628,1193.946445,1205.527871,1215.271563,1217.253694,1220.387087,1219.864358,1220.77379,1220.412231,1218.473313,1224.201736,1234.734726,1249.214722,1258.795549,1265.763149,1273.793835,1279.764639,1283.006259,1281.496864,1278.199388,1275.476441,1281.410179,1291.574919,1302.91396,1315.666235,1321.080369,1325.963977,1324.725543,1331.136667,1334.324459,1334.197364,1331.848598,1334.461268,1339.77656,1347.653211,1353.030675,1368.901933,1378.862111,1390.981871,1392.9625,1395.07609,1394.04522,1391.316627,1389.791128,1390.622765,1394.288871,1402.959339,1412.799559,1418.747447,1420.200133,1418.366182,1419.171145,1420.966909,1424.413096,1420.654648,1416.607721,1407.825704,1404.016303,1405.247587,1410.000664,1421.805429,1433.274612,1449.638717,1463.288137,1474.358282,1481.710958,1485.081852,1484.60976,1482.658974,1483.961835,1491.529915,1502.792957,1515.293402,1526.154735,1538.330506,1546.973374,1553.461799,1553.358575,1550.680246,1544.622454,1539.025349,1537.335247,1542.418176,1552.965056,1564.786674,1572.529621,1579.055014,1583.822862,1588.072202,1588.568562,1584.619806,1581.925507,1578.550014,1579.040361,1583.892512,1595.369209,1608.121973,1618.92662,1626.064546,1631.741571,1635.562579,1640.16074,1641.334253,1636.162768,1629.575947,1628.753635,1636.750349
395056,1680.384745,1691.638438,1701.216368,1704.493243,1716.179133,1724.307756,1741.057354,1751.577977,1760.06712,1764.475993,1763.08518,1770.255463,1775.517664,1784.89963,1794.229394,1804.543101,1818.361913,1833.180581,1845.640065,1852.77617,1855.991616,1857.776019,1858.764281,1861.385844,1868.347098,1884.894466,1903.366126,1921.574831,1937.472429,1949.549553,1962.118853,1967.319183,1970.626249,1970.33497,1969.95356,1972.102488,1982.897123,1995.808729,2010.831709,2021.717091,2038.005096,2048.928445,2059.86103,2067.143887,2072.405136,2072.579552,2068.051508,2070.696672,2075.610498,2083.15084,2089.550595,2099.503489,2111.89542,2123.804686,2136.078151,2144.087746,2146.734375,2146.536875,2147.526101,2151.535527,2156.8018,2162.113555,2166.107687,2157.458228,2150.56851,2149.271442,2160.666728,2169.779038,2181.71377,2198.124749,2213.148844,2223.560567,2230.568828,2241.422193,2259.579199,2287.923443,2325.37229,2364.016544,2414.330309,2467.767993,2523.855656,2558.263671,2580.914327,2596.997625,2616.488117,2644.32655,2674.713978,2719.43754,2763.659364,2811.619956,2845.063642,2874.017741,2879.771058,2873.631477,2852.763069,2842.320106,2835.979407,2845.187539,2870.634049,2902.065537,2936.595093,2959.403329,2977.582429,2984.907689,2981.950223,2966.952997,2943.536754,2923.996615,2917.293977,2927.878882,2947.292936,2973.157049,2993.800861,3013.987331,3025.914004,3028.215601,3025.119633,3020.426712,3017.454577,3009.513415,3009.808882
395148,1060.404461,1063.386138,1067.791118,1075.685549,1084.114497,1091.655455,1097.262877,1100.316001,1102.56653,1106.387646,1111.954507,1117.653846,1121.254107,1125.57498,1128.860796,1135.390943,1139.824104,1147.193311,1149.430737,1153.055524,1156.666623,1161.898884,1166.029575,1167.527937,1172.658838,1177.874336,1187.11996,1195.844257,1204.978579,1211.863788,1214.863558,1215.464467,1216.089296,1218.499157,1223.253008,1229.154877,1235.493564,1242.033367,1248.839688,1258.09749,1266.647607,1275.620986,1280.703131,1285.031531,1283.199422,1284.776186,1290.144179,1294.154941,1298.167749,1300.470767,1309.320813,1318.700609,1327.412963,1334.75846,1339.320517,1344.13674,1346.58553,1348.466179,1348.045217,1351.765401,1356.054063,1362.008771,1370.7576,1372.696225,1373.46727,1375.009916,1388.532002,1404.641916,1416.984778,1426.227075,1434.839303,1445.641421,1456.020839,1470.592107,1485.692038,1512.887865,1551.001469,,1656.52555,1712.396646,1755.295995,1785.435821,1800.736921,1821.369805,1836.790547,1854.529816,1871.355723,1896.275933,1923.211218,1948.546736,1967.729319,1974.09679,1969.698409,1962.782142,1961.486139,1962.411287,1966.317967,1969.292049,1982.221735,1991.541245,2000.904941,2002.329523,2010.285556,2020.085008,2021.075813,2018.769727,2013.244428,2012.057459,2012.287076,2015.556458,2023.235144,2029.170818,2031.400873,2034.683645,2042.266758,2048.853057,2050.61179,2055.208559,2062.852027,2077.141116,2085.235557
394530,1256.908061,1272.100828,1290.435737,1308.096439,1323.312126,1338.699937,1347.654703,1352.831191,1351.796754,1353.450655,1352.756108,1356.472399,1363.838259,1370.565566,1376.819065,1380.823229,1393.824256,1406.259162,1412.421112,1411.709149,1405.027467,1396.759055,1389.466119,1388.642338,1396.78529,1409.354489,1424.264985,1439.99022,1455.6517,1466.193552,1472.05815,1473.080034,1470.076613,1463.875184,1458.907137,1461.885801,1467.224092,1477.878812,1487.874158,1500.831042,1510.026794,1519.464343,1525.266487,1528.669113,1524.742435,1519.640947,1516.914701,1519.663347,1526.255714,1535.421553,1546.20704,1557.829291,1570.28726,1580.302076,1585.879597,1584.289606,1578.759663,1574.951038,1575.011525,1577.830909,1582.372397,1588.395143,1594.581101,1588.972961,1582.166319,1578.480281,1587.054353,1591.748009,1592.485454,1585.115543,1577.760151,1573.221405,1577.28419,1587.870965,1603.224109,1627.414127,1659.561109,1697.480987,1733.889629,1763.871531,1783.902184,1787.861175,1786.903591,1785.739584,1795.793499,1810.412232,1833.026773,1856.585642,1882.424309,1902.207023,1916.733464,1917.6189,1911.103065,1901.114455,1887.635302,1878.592709,1876.900694,1889.324494,1910.793036,1926.53166,1943.562341,1954.111436,1962.388755,1965.588823,1962.156988,1954.542352,1943.632447,1931.36196,1934.39043,1942.296955,1961.769898,1975.330621,1991.663217,1999.701647,2006.635278,2005.005213,1997.145014,1975.338876,1950.661422,1925.811299,1918.025816
394358,1309.520912,1313.405926,1317.903198,1322.458395,1329.79196,1333.901481,1339.633893,1338.147067,1338.227934,1335.994589,1333.799508,1332.552311,1335.59099,1341.632139,1348.27593,1351.217121,1353.297223,1354.180866,1352.317786,1348.275399,1343.962358,1343.315046,1340.878438,1337.109841,1340.820983,1348.562697,1360.562143,1364.896459,1374.855156,1380.135376,1383.392443,1376.537529,1371.322504,1369.866362,1364.90557,1366.583708,1365.101326,1377.110952,1383.483921,1392.658949,1396.383689,1398.332132,1400.158157,1398.348721,1395.61679,1393.32148,1391.802366,1395.459137,1396.434263,1404.143403,1413.32156,1423.645259,1429.361466,1432.099914,1434.462632,1435.928089,1434.599119,1430.309603,1428.961594,1430.33406,1436.360784,1440.589039,1443.814812,1443.030932,1442.89488,1445.888908,1451.689695,1455.048252,1457.465586,1461.096552,1466.614246,1472.678642,1478.859065,1487.950765,1496.049792,1514.666935,1537.515768,1564.806475,1589.266555,1612.066637,1630.278724,1626.656455,1630.171291,1634.604471,1651.422268,1658.888095,1668.074842,1684.394115,1698.762934,1716.583038,1725.516937,1727.622097,1721.331911,1711.630803,1705.222514,1704.244844,1713.262318,1724.907779,1737.84366,1743.890138,1754.526132,1761.935113,1772.227248,1772.120433,1772.197552,1764.44319,1762.060932,1758.230732,1762.672802,1770.346518,1781.085316,1792.931482,1808.857083,1822.935588,1833.381948,1838.055905,1838.70278,1839.18571,1836.047497,1837.377959,1843.142577
395121,866.7920241,868.3384857,871.3392135,876.2141195,880.127046,883.2627494,884.8241511,885.416001,885.5596961,885.2825227,885.39056,885.5752939,888.2759441,891.5233281,894.6817304,898.1751134,902.4698577,905.8372563,907.4029523,906.6604491,905.7225243,906.297886,905.1356624,904.2659741,904.1936825,908.0546601,916.320033,922.5072495,927.3372906,929.3740421,931.5306409,932.938686,932.6146947,931.5915192,929.8075359,930.2604716,932.1211577,936.1335252,941.1829783,948.387785,954.3361409,957.1068995,957.3544843,957.5207207,958.2011893,959.0377081,959.6987028,961.079258,963.4766107,966.8944475,973.6798527,980.0789969,985.6544798,990.5719742,991.872915,993.2686439,991.0368056,989.623999,991.2061844,991.8854118,996.9790795,1001.411303,1011.093434,1016.023529,1020.144642,1022.259196,1027.917398,1034.554307,1039.266089,1041.637267,1042.6328,1044.64371,1047.425169,1052.507318,1057.4051,1069.98745,1083.181816,1096.750072,1107.86089,1117.031488,1127.384337,1131.793653,1137.013958,1143.131769,1151.886449,1163.48914,1174.05009,1186.441204,1199.590644,1214.247516,1226.048651,1235.04959,1231.827765,1234.182698,1233.241807,1238.762072,1238.318169,1238.195088,1247.879607,1259.333105,1276.134183,1285.682107,1294.590305,1295.444087,1296.827741,1296.347238,1298.979678,1301.582802,1302.997499,1308.927188,1318.752977,1331.254727,1339.715509,1349.348932,1357.22913,1364.963972,1364.736719,1365.34973,1368.15005,1373.423262,1378.334894
394943,1117.033874,1123.001186,1130.574489,1139.681262,1148.561881,1154.992029,1161.381486,1165.907568,1171.100834,1173.552078,1174.831499,1176.240462,1178.565373,1182.744778,1188.81919,1196.756847,1206.693499,1214.775696,1221.25186,1225.745735,1228.265876,1228.965748,1228.262458,1227.569445,1233.534412,1242.210223,1247.78538,1256.567375,1266.594393,1282.868733,1290.31451,1292.99367,1292.562708,1292.840678,1296.98471,1305.842272,1314.171435,1322.725213,1331.810209,1338.776019,1348.02775,1355.915492,1366.932937,1374.156753,1377.507622,1378.329958,1379.267307,1380.468712,1385.126377,1389.098971,1398.061032,1408.175553,1417.796488,1426.591363,1431.076134,1434.703931,1437.647099,1438.458453,1436.800114,1437.240491,1438.798792,1445.894723,1448.796722,1447.016024,1444.274302,1442.688181,1449.85946,1453.282776,1457.205738,1457.246654,1461.009862,1462.975409,1470.375579,1480.449645,1495.869596,1517.950203,1549.197055,1590.142628,1631.998803,1676.911956,1717.6727,1752.352792,1772.653047,1785.809646,1797.578072,1813.664065,1839.557324,1868.868193,1903.021608,1931.845652,1955.304877,1964.078864,1958.437099,1949.130811,1942.235659,1938.060306,1937.562585,1942.053202,1955.435979,1965.677264,1976.465606,1979.135288,1982.892911,1981.79584,1975.444683,1964.442456,1952.132161,1946.172487,1950.272756,1957.719439,1968.27004,1981.125962,1993.435445,2004.140603,2009.239045,2006.353802,2003.143954,1988.983204,1981.560911,1972.116167,1978.867078
394458,1017.855871,1023.746921,1029.811857,1040.727213,1049.860982,1057.602945,1062.851951,1067.463483,1069.158647,1068.893404,1069.156523,1070.639191,1075.090042,1082.085143,1089.601268,1095.207545,1100.000125,1105.579955,1112.914851,1117.103022,1119.02835,1121.083436,1118.93922,1116.928526,1119.782121,1129.051941,1144.310713,1156.718036,1167.905635,1175.422158,1179.84418,1181.234511,1182.758363,1177.984923,1179.67528,1180.432239,1184.988594,1192.058872,1198.193299,1209.786655,1216.492523,1226.20523,1231.785666,1234.725675,1230.375339,1229.252475,1232.512584,1239.629998,1248.091343,1253.4799,1262.376176,1269.010664,1277.459471,1284.658037,1290.833297,1293.257763,1297.541118,1296.434282,1295.702698,1292.546984,1296.456295,1299.761383,1311.380768,1309.156381,1311.207589,1309.299873,1321.000393,1331.177644,1337.699677,1341.853592,1347.033773,1350.726947,1356.946563,1362.625727,1374.249709,1394.241899,1420.60834,1451.608705,1482.170619,1513.392239,1538.546383,1555.056079,1562.85935,1572.622123,1580.772258,1590.239248,1600.19013,1617.507373,1644.075791,1673.510791,1700.303398,1710.72894,1708.999805,1703.171408,1697.729837,1696.904155,1696.582321,1700.837642,1709.571931,1717.771288,1730.19115,1739.377744,1747.231051,1751.184347,1747.708271,1741.256614,1728.353524,1721.659653,1720.166271,1728.649536,1734.081475,1742.532713,1747.913461,1758.573006,1766.885962,1772.339188,1773.387742,1764.51933,1757.589766,1749.961857,1753.96327
395055,1018.059803,1022.18547,1027.889731,1035.219218,1044.316105,1051.831744,1054.364777,1052.452867,1051.128986,1054.856412,1056.748324,1058.741065,1058.653613,1061.984272,1067.332625,1075.602055,1081.435338,1086.789134,1088.112496,1090.957358,1091.416343,1090.750811,1092.388753,1092.540513,1096.913827,1100.51159,1107.899699,1114.466103,1119.969413,1127.140582,1130.023764,1129.411207,1126.17377,1123.723691,1121.750174,1121.481346,1122.870451,1128.938226,1135.311515,1140.626058,1144.590561,1149.469341,1154.724866,1159.624671,1159.520048,1159.596342,1157.249337,1156.178344,1156.395789,1160.963879,1167.733427,1175.249799,1180.700339,1186.515548,1190.665682,1196.324983,1198.018166,1197.439727,1191.696807,1191.462208,1191.305627,1198.568355,1202.892331,1204.244139,1201.561592,1201.541995,1209.076063,1215.035418,1218.582681,1218.254095,1218.985629,1222.27831,1225.258668,1228.998611,1236.29239,1251.003707,1270.590295,1292.823507,1317.99489,1343.672084,1364.140537,1374.988466,1380.065467,1385.912105,1391.946494,1404.424115,1416.644567,1429.740077,1440.806555,1451.338184,1464.729538,1469.229604,1465.865483,1453.967254,1445.714807,1441.959829,1447.673894,1451.417026,1463.265949,1466.015883,1472.119031,1467.825816,1466.788441,1462.601241,1457.960605,1449.426838,1444.969267,1441.503658,1441.991249,1443.406039,1450.877002,1459.750208,1465.714855,1468.047812,1468.90002,1467.684282,1460.656117,1443.320742,1431.291758,1423.929541,1430.784566
